zip,pop,city,state
90638,49012,LA MIRADA,CA
10998,3122,WESTTOWN,NY
22529,335,OLDHAMS,VA
2108,3825,BOSTON,MA
10990,20631,WARWICK,NY
2109,3771,BOSTON,MA
10992,9621,WASHINGTONVILLE,NY
22520,5402,MONTROSS,VA
10993,4769,WEST HAVERSTRAW,NY
10994,7085,WEST NYACK,NY
10996,6756,WEST POINT,NY
90640,62549,MONTEBELLO,CA
22514,2603,MILFORD,VA
90623,15554,LA PALMA,CA
22511,1240,LOTTSBURG,VA
63935,10158,DONIPHAN,MO
63936,754,DUDLEY,MO
63933,3719,CAMPBELL,MO
63934,201,CLUBB,MO
63932,1254,BROSELEY,MO
90631,67619,LA HABRA,CA
90630,47993,CYPRESS,CA
2128,40508,BOSTON,MA
2127,31799,BOSTON,MA
75574,1868,SIMMS,TX
22504,263,LANEVIEW,VA
96009,569,BIEBER,CA
22503,4334,LANCASTER,VA
2129,16439,CHARLESTOWN,MA
96008,1231,BELLA VISTA,CA
75572,3491,QUEEN CITY,TX
2124,47783,DORCHESTER CENTER,MA
96007,22841,ANDERSON,CA
75573,181,REDWATER,TX
22509,31,LORETTO,VA
96006,557,ADIN,CA
75570,11518,NEW BOSTON,TX
22508,12696,LOCUST GROVE,VA
2126,25562,MATTAPAN,MA
75571,2846,OMAHA,TX
2125,33295,DORCHESTER,MA
96003,44461,REDDING,CA
96002,33298,REDDING,CA
96001,33865,REDDING,CA
63901,34665,POPLAR BLUFF,MO
63902,0,POPLAR BLUFF,MO
90660,62928,PICO RIVERA,CA
2120,15181,ROXBURY CROSSING,MA
2121,25978,DORCHESTER,MA
2122,23479,DORCHESTER,MA
75563,4282,LINDEN,TX
2119,25346,ROXBURY,MA
2118,26498,BOSTON,MA
75565,361,MC LEOD,TX
75566,782,MARIETTA,TX
2116,20628,BOSTON,MA
2115,28441,BOSTON,MA
75560,1088,DOUGLASSVILLE,TX
2114,11999,BOSTON,MA
75561,5395,HOOKS,TX
2113,6915,BOSTON,MA
75562,176,KILDARE,TX
75567,4225,MAUD,TX
75568,2876,NAPLES,TX
75569,2874,NASH,TX
2110,1733,BOSTON,MA
90650,105549,NORWALK,CA
2111,7383,BOSTON,MA
45208,17614,CINCINNATI,OH
61820,36964,CHAMPAIGN,IL
63967,1906,WILLIAMSVILLE,MO
45207,7974,CINCINNATI,OH
63966,2601,WAPPAPELLO,MO
45209,9605,CINCINNATI,OH
10950,47226,MONROE,NY
39629,6519,BOGUE CHITTO,MS
63962,41,ROMBAUER,MO
10952,38917,MONSEY,NY
61822,21608,CHAMPAIGN,IL
63965,2697,VAN BUREN,MO
61821,30174,CHAMPAIGN,IL
63964,784,SILVA,MO
10954,23045,NANUET,NY
10953,252,MOUNTAINVILLE,NY
10956,31521,NEW CITY,NY
45202,15483,CINCINNATI,OH
63961,1610,QULIN,MO
63960,3326,PUXICO,MO
10958,3291,NEW HAMPTON,NY
45204,6972,CINCINNATI,OH
45203,2236,CINCINNATI,OH
45206,10745,CINCINNATI,OH
45205,19389,CINCINNATI,OH
61816,509,BROADLANDS,IL
61817,2583,CATLIN,IL
61814,1157,BISMARCK,IL
61815,228,BONDVILLE,IL
61818,1665,CERRO GORDO,IL
39633,1094,CROSBY,MS
39635,170,FERNWOOD,MS
45219,16526,CINCINNATI,OH
61831,157,COLLISON,IL
45218,3846,CINCINNATI,OH
61830,478,CISCO,IL
10963,4298,OTISVILLE,NY
61833,2124,TILTON,IL
10962,5950,ORANGEBURG,NY
39638,3333,GLOSTER,MS
61832,37290,DANVILLE,IL
10960,15093,NYACK,NY
61834,8454,DANVILLE,IL
45213,12013,CINCINNATI,OH
45212,22253,CINCINNATI,OH
10965,14791,PEARL RIVER,NY
45211,36111,CINCINNATI,OH
10964,1472,PALISADES,NY
45217,6566,CINCINNATI,OH
45216,9570,CINCINNATI,OH
10969,1267,PINE ISLAND,NY
45215,29623,CINCINNATI,OH
10968,2353,PIERMONT,NY
